chr	start	end	A549-control	A549-nutlin	GM12878-control	GM12878-nutlin	HCT116-control	HCT116-nutlin	HEK293-control	HEK293-nutlin	HeLa-control	HeLa-nutlin	HepG2-control	HepG2-nutlin	IMR90-control	IMR90-nutlin	MCF7-control	MCF7-nutlin	SKNSH-control	SKNSH-nutlin	U2OS-control	U2OS-nutlin	gene	sym
chr16	401858	401860	A	A	NA	NA	A	A	A	A	A	A	NA	A	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000242612	DECR2
chr16	71525233	71525235	B	B	A	A	A	A	B	B	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000140835	CHST4
chr16	71626161	71626163	A	A	A	A	A	A	A	A	A	B	A	A	B	B	A	A	B	B	A	A	ENSG00000140832	MARVELD3
chr16	55655988	55655990	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000103546	SLC6A2
chr16	78022515	78022517	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	B	B	B	ENSG00000166509	CLEC3A
chr16	78099400	78099402	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	B	B	B	ENSG00000186153	WWOX
chr16	13920138	13920140	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000175595	ERCC4
chr16	4958330	4958332	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000103184	SEC14L5
chr16	5033702	5033704	B	B	A	A	A	A	B	B	A	B	A	A	B	B	A	A	A	A	A	A	ENSG00000033011	ALG1
chr16	23755026	23755028	A	B	A	A	A	A	B	B	A	A	B	B	B	B	B	B	B	B	A	A	ENSG00000166869	CHP2
chr16	23835983	23835985	B	B	A	A	B	B	B	B	A	A	B	B	B	B	B	B	B	B	B	A	ENSG00000166501	PRKCB
chr16	24256335	24256337	B	B	A	A	B	B	B	B	A	A	B	B	B	B	B	B	B	B	B	B	ENSG00000006116	CACNG3
chr16	24537693	24537695	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000122257	RBBP6
chr16	9091644	9091646	A	A	A	A	A	A	A	A	B	B	A	A	B	B	A	A	A	A	A	A	ENSG00000182831	C16orf72
chr16	8788823	8788825	B	B	B	B	A	A	B	B	B	B	A	A	B	B	B	B	B	B	A	A	ENSG00000140650	PMM2
chr16	71808439	71808441	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000224470	ATXN1L
chr16	71845996	71845998	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000182149	IST1
chr16	72008588	72008590	B	B	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000102967	DHODH
chr16	72054505	72054507	B	B	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000257017	HP
chr16	72063148	72063150	B	B	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000261701	HPR
chr16	72093613	72093615	B	B	A	A	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000140829	DHX38
chr16	66934444	66934446	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000172831	CES2
chr16	66961245	66961247	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000172828	CES3
chr16	66988589	66988591	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000172824	CES4A
chr16	67028984	67028986	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000067955	CBFB
chr16	67164681	67164683	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000102878	HSF4
chr16	30957754	30957756	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000099381	SETD1A
chr16	30053151	30053153	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000285043	
chr16	57976435	57976437	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000159648	TEPP
chr16	3611728	3611730	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000213918	DNASE1
chr16	28823035	28823037	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000168488	ATXN2L
chr16	1772810	1772812	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000197774	EME2
chr16	89657740	89657742	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000167523	SPATA33
chr16	4556340	4556342	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000205832	C16orf96
chr16	5239802	5239804	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000078328	RBFOX1
chr16	3065297	3065299	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000008517	IL32
chr16	31873807	31873809	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000185947	ZNF267
chr16	32252719	32252721	NA	B	NA	NA	NA	NA	NA	NA	B	A	B	B	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000205456	TP53TG3D
chr16	28751787	28751789	A	A	NA	NA	A	A	A	A	A	A	A	A	NA	NA	A	A	NA	NA	NA	NA	ENSG00000196993	NPIPB9
chr16	53054991	53054993	B	B	A	A	B	B	A	A	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000177200	CHD9
chr16	28846600	28846602	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000178188	SH2B1
chr16	85063212	85063214	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000135709	KIAA0513
chr16	28637654	28637656	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	NA	A	A	ENSG00000255524	NPIPB8
chr16	2830169	2830171	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000162078	ZG16B
chr16	87949244	87949246	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000172530	BANP
chr17	2337498	2337500	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141258	SGSM2
chr17	2755705	2755707	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000132359	RAP1GAP2
chr17	4940008	4940010	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108523	RNF167
chr17	6444455	6444457	A	A	B	B	A	A	B	B	A	A	A	A	B	B	A	A	B	B	A	A	ENSG00000129195	PIMREG
chr17	410325	410327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000187624	C17orf97
chr17	5116032	5116034	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000129204	USP6
chr17	6651762	6651764	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000256806	C17orf100
chr17	4948092	4948094	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108515	ENO3
chr17	3668812	3668814	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000127774	EMC6
chr17	5078467	5078469	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000180787	ZFP3
chr17	5486285	5486287	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000167842	MIS12
chr17	4997950	4997952	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000129250	KIF1C
chr17	5772926	5772928	B	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000285471	
chr17	6641060	6641062	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000129235	TXNDC17
chr17	16217191	16217193	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108474	PIGL
chr17	19127589	19127591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000189152	GRAPL
chr17	5282265	5282267	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000029725	RABEP1
chr17	19495385	19495387	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	A	A	A	ENSG00000142494	SLC47A1
chr17	27294076	27294078	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000109046	WSB1
chr17	18260662	18260664	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000177427	MIEF2
chr17	17972813	17972815	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171962	DRC3
chr17	15732247	15732249	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	B	B	B	B	ENSG00000214946	TBC1D26
chr17	18183078	18183080	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000091542	ALKBH5
chr17	21376357	21376359	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	ENSG00000184185	KCNJ12
chr17	21123364	21123366	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	A	ENSG00000109016	DHRS7B
chr17	18087948	18087950	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108591	DRG2
chr17	16415571	16415573	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000187688	TRPV2
chr17	6776215	6776217	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	A	B	B	A	A	ENSG00000177294	FBXO39
chr17	30378927	30378929	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108582	CPD
chr17	31094927	31094929	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000196712	NF1
chr17	34961540	34961542	B	B	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000198783	ZNF830
chr17	34356480	34356482	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000181374	CCL13
chr17	30115521	30115523	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000126653	NSRP1
chr17	31937007	31937009	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000178691	SUZ12
chr17	18039408	18039410	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141034	GID4
chr17	15999824	15999826	B	B	B	B	A	A	A	A	B	B	A	A	B	B	A	A	B	B	A	A	ENSG00000011295	TTC19
chr17	18225635	18225637	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131899	LLGL1
chr17	36535020	36535022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000277161	PIGW
chr17	3723903	3723905	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000177602	HASPIN
chr17	35578046	35578048	B	B	A	A	B	B	B	B	B	B	B	B	B	B	A	A	B	B	B	B	ENSG00000006125	AP2B1
chr17	30906344	30906346	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000184060	ADAP2
chr17	32266176	32266178	A	A	A	A	A	A	A	A	A	B	A	A	B	A	A	A	A	A	A	A	ENSG00000141314	RHBDL3
chr17	36486629	36486631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000273611	ZNHIT3
chr17	18840085	18840087	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141127	PRPSAP2
chr17	37489891	37489893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000276023	DUSP14
chr17	34980512	34980514	B	B	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000005156	LIG3
chr17	38730341	38730343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000277972	CISD3
chr17	38297168	38297170	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000278845	MRPL45
chr17	28041737	28041739	B	B	A	A	B	B	B	B	B	B	B	B	B	B	A	A	B	B	A	A	ENSG00000087095	NLK
chr17	32007872	32007874	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000185158	LRRC37B
chr17	34285742	34285744	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000172156	CCL11
chr17	38419280	38419282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000275832	ARHGAP23
chr17	34270221	34270223	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000108688	CCL7
chr17	36064272	36064274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000275385	CCL18
chr17	39737927	39737929	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141738	GRB7
chr17	32927910	32927912	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000006042	TMEM98
chr17	36601583	36601585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000278619	MRM1
chr17	34255218	34255220	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000108691	CCL2
chr17	40287879	40287881	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000094804	CDC6
chr17	39980807	39980809	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108344	PSMD3
chr17	36103827	36103829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000275302	CCL4
chr17	38705542	38705544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000275023	MLLT6
chr17	16690261	16690263	A	A	B	B	B	B	B	A	A	A	B	B	B	B	A	A	B	B	A	B	ENSG00000266302	
chr17	40219304	40219306	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000171475	WIPF2
chr17	36544919	36544921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000278311	GGNBP2
chr17	16380798	16380800	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000170315	UBB
chr17	38752741	38752743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000277791	PSMB3
chr17	37406886	37406888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000276234	TADA2A
chr17	32970376	32970378	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000141316	SPACA3
chr17	39626740	39626742	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131771	PPP1R1B
chr17	38351844	38351846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000274211	SOCS7
chr17	20579724	20579726	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	NA	NA	B	B	ENSG00000214819	CDRT15L2
chr17	37375986	37375988	NA	NA	NA	NA	NA	NA	NA	NA	A	A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000278505	C17orf78
chr17	41265339	41265341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000212659	KRTAP9-6
chr17	41812680	41812682	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141756	FKBP10
chr17	15699692	15699694	B	B	B	B	A	A	B	B	B	B	B	B	B	B	A	A	B	B	B	B	ENSG00000255104	
chr17	40121971	40121973	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000188895	MSL1
chr17	40309192	40309194	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131759	RARA
chr17	30970984	30970986	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000181481	RNF135
chr17	39667981	39667983	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141744	PNMT
chr17	38003976	38003978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000274419	TBC1D3D
chr17	31391675	31391677	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131242	RAB11FIP4
chr17	38870058	38870060	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	NA	A	A	ENSG00000002834	LASP1
chr17	32486993	32486995	A	B	A	A	A	B	A	A	B	B	A	A	B	B	A	A	A	A	A	A	ENSG00000176749	CDK5R1
chr17	41237999	41238001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000187272	KRTAP9-8
chr17	18108756	18108758	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000091536	MYO15A
chr17	27456470	27456472	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000141068	KSR1
chr17	36210924	36210926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000276070	CCL4L2
chr17	39953263	39953265	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000167914	GSDMA
chr17	38925168	38925170	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000263874	LINC00672
chr17	41275659	41275661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000180386	KRTAP9-7
chr17	36323884	36323886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000260287	TBC1D3G
chr17	41189887	41189889	A	A	B	B	A	A	B	B	A	A	B	B	A	A	A	A	NA	NA	A	A	ENSG00000240542	KRTAP9-1
chr17	42851199	42851201	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131471	AOC3
chr17	18315293	18315295	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000176994	SMCR8
chr17	36591879	36591881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000278535	DHRS11
chr17	42900797	42900799	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131482	G6PC1
chr17	39637144	39637146	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131748	STARD3
chr17	43483865	43483867	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000067596	DHX8
chr17	40443450	40443452	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141753	IGFBP4
chr17	34319435	34319437	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000108700	CCL8
chr17	41966795	41966797	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173786	CNP
chr17	15699577	15699579	B	B	B	B	A	A	B	B	B	B	B	B	B	B	A	A	B	B	B	B	ENSG00000187607	ZNF286A
chr17	43025241	43025243	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108830	RND2
chr17	43398993	43398995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000175906	ARL4D
chr17	42798861	42798863	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000176563	CNTD1
chr17	21692523	21692525	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000260458	KCNJ18
chr17	4433940	4433942	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000182557	SPNS3
chr17	42122804	42122806	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000260325	HSPB9
chr17	27623364	27623366	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000266728	
chr17	43780435	43780437	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000231256	CFAP97D1
chr17	41226648	41226650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000239886	KRTAP9-2
chr17	43211835	43211837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000184988	TMEM106A
chr17	42780610	42780612	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000126562	WNK4
chr17	42824385	42824387	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131467	PSME3
chr17	48723185	48723187	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000229637	PRAC2
chr17	50532735	50532737	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000049283	EPN3
chr17	47253897	47253899	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000259753	
chr17	46833201	46833203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000158955	WNT9B
chr17	41930635	41930637	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000204815	ODAD4
chr17	41249687	41249689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000241595	KRTAP9-4
chr17	27629798	27629800	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000168961	LGALS9
chr17	50719603	50719605	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108848	LUC7L3
chr17	6755447	6755449	A	A	A	A	A	A	B	B	A	A	A	A	B	B	A	A	B	B	A	A	ENSG00000132530	XAF1
chr17	40140318	40140320	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108349	CASC3
chr17	47200446	47200448	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000198336	MYL4
chr17	41232449	41232451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000204873	KRTAP9-3
chr17	30831970	30831972	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000176208	ATAD5
chr17	41688885	41688887	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173812	EIF1
chr17	29929200	29929202	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000176927	EFCAB5
chr17	42844580	42844582	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000131480	AOC2
chr17	45620344	45620346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000263715	LINC02210-CRHR1
chr17	39665349	39665351	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173991	TCAP
chr17	17681458	17681460	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108557	RAI1
chr17	47967810	47967812	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108465	CDK5RAP3
chr17	49210707	49210709	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108798	ABI3
chr17	50834650	50834652	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000173714	WFIKKN2
chr17	48908407	48908409	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000159202	UBE2Z
chr17	41255384	41255386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000198083	KRTAP9-9
chr17	59619858	59619860	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000141367	CLTC
chr17	50508439	50508441	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000136449	MYCBPAP
chr17	47896150	47896152	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000167182	SP2
chr17	47323290	47323292	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000178852	EFCAB13
chr17	43170481	43170483	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000188554	NBR1
chr17	43847148	43847150	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000161649	CD300LG
chr17	41835685	41835687	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000161594	KLHL10
chr17	50634777	50634779	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000108846	ABCC3
chr17	56593699	56593701	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000183691	NOG
chr17	50055968	50055970	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000005884	ITGA3
chr17	41712331	41712333	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	ENSG00000184502	GAST
chr17	51260546	51260548	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	ENSG00000011260	UTP18
