chr	start	end	gene	sym
chr12	53938831	53938833	ENSG00000123364	HOXC13
chr12	120725826	120725828	ENSG00000122971	ACADS
chr12	121888790	121888792	ENSG00000110801	PSMD9
chr12	47753916	47753918	ENSG00000211584	SLC48A1
chr12	68610899	68610901	ENSG00000127314	RAP1B
chr12	22046218	22046220	ENSG00000111726	CMAS
chr12	120687149	120687151	ENSG00000110917	MLEC
chr12	122078756	122078758	ENSG00000175727	MLXIP
chr12	95943331	95943333	ENSG00000139344	AMDHD1
chr12	104986316	104986318	ENSG00000151131	C12orf45
chr12	118376555	118376557	ENSG00000111707	SUDS3
chr12	113185526	113185528	ENSG00000139405	RITA1
chr12	80716912	80716914	ENSG00000111049	MYF5
chr12	93677375	93677377	ENSG00000169372	CRADD
chr12	119334712	119334714	ENSG00000183273	CCDC60
chr12	93377883	93377885	ENSG00000173598	NUDT4
chr12	106301929	106301931	ENSG00000166046	TCP11L2
chr12	101877580	101877582	ENSG00000136048	DRAM1
chr12	118981541	118981543	ENSG00000139767	SRRM4
chr12	57128493	57128495	ENSG00000123384	LRP1
chr12	121918592	121918594	ENSG00000158023	CFAP251
chr12	53954903	53954905	ENSG00000123407	HOXC12
chr12	54497752	54497754	ENSG00000123338	NCKAP1L
chr12	121400041	121400043	ENSG00000170633	RNF34
chr12	121888809	121888811	ENSG00000256950	
chr12	101280105	101280107	ENSG00000120800	UTP20
chr12	71439798	71439800	ENSG00000139292	LGR5
chr12	123971845	123971847	ENSG00000179195	ZNF664
chr12	132986365	132986367	ENSG00000198393	ZNF26
chr12	100267140	100267142	ENSG00000136021	SCYL2
chr12	130953907	130953909	ENSG00000111452	ADGRD1
chr12	123458139	123458141	ENSG00000184209	SNRNP35
chr12	133130575	133130577	ENSG00000256223	ZNF10
chr12	40692442	40692444	ENSG00000018236	CNTN1
chr12	111842228	111842230	ENSG00000089022	MAPKAPK5
chr12	118013588	118013590	ENSG00000111445	RFC5
chr12	133130984	133130986	ENSG00000256825	
chr12	109900264	109900266	ENSG00000139437	TCHP
chr12	118136124	118136126	ENSG00000089220	PEBP1
chr12	102957674	102957676	ENSG00000139352	ASCL1
chr12	109023089	109023091	ENSG00000135093	USP30
chr12	111034165	111034167	ENSG00000111249	CUX2
chr12	131949942	131949944	ENSG00000183495	EP400
chr12	110124335	110124337	ENSG00000122970	IFT81
chr12	108858932	108858934	ENSG00000110887	DAO
chr12	110846769	110846771	ENSG00000173093	CCDC63
chr12	20815674	20815676	ENSG00000257046	SLCO1B3-SLCO1B7
chr12	121712752	121712754	ENSG00000188735	TMEM120B
chr12	107318434	107318436	ENSG00000151136	BTBD11
chr12	120710458	120710460	ENSG00000175970	UNC119B
chr12	109999186	109999188	ENSG00000076513	ANKRD13A
chr12	130872066	130872068	ENSG00000132341	RAN
chr12	112570380	112570382	ENSG00000089169	RPH3A
chr12	121132819	121132821	ENSG00000089041	P2RX7
chr12	119989869	119989871	ENSG00000135127	BICDL1
chr12	121626550	121626552	ENSG00000276045	ORAI1
chr12	120640552	120640554	ENSG00000157782	CABP1
chr12	56468578	56468580	ENSG00000176422	SPRYD4
chr12	128853427	128853429	ENSG00000151948	GLT1D1
chr12	100357074	100357076	ENSG00000179520	SLC17A8
chr12	101696947	101696949	ENSG00000111666	CHPT1
chr12	50842920	50842922	ENSG00000186452	TMPRSS12
chr12	132144457	132144459	ENSG00000184967	NOC4L
chr12	4909905	4909907	ENSG00000111262	KCNA1
chr12	123973241	123973243	ENSG00000178882	RFLNA
chr12	49967194	49967196	ENSG00000086159	AQP6
chr12	123384132	123384134	ENSG00000183955	KMT5A
chr12	111753890	111753892	ENSG00000257767	
chr12	52232520	52232522	ENSG00000135480	KRT7
chr12	26938470	26938472	ENSG00000111790	FGFR1OP2
chr12	69359743	69359745	ENSG00000127337	YEATS4
chr12	1688574	1688576	ENSG00000006831	ADIPOR2
chr12	1820267	1820269	ENSG00000166159	LRTM2
chr12	8913896	8913898	ENSG00000111752	PHC1
chr12	8950044	8950046	ENSG00000139187	KLRG1
chr12	57434784	57434786	ENSG00000175189	INHBC
chr12	57452323	57452325	ENSG00000139269	INHBE
chr12	57459785	57459787	ENSG00000111087	GLI1
chr12	57475445	57475447	ENSG00000166986	MARS1
chr12	57520710	57520712	ENSG00000166987	MBD6
chr12	57591174	57591176	ENSG00000166908	PIP4K2C
chr12	57604622	57604624	ENSG00000178498	DTX3
chr12	57610180	57610182	ENSG00000240771	ARHGEF25
chr12	57615280	57615282	ENSG00000287908	
chr12	57693955	57693957	ENSG00000135506	OS9
chr12	57738013	57738015	ENSG00000135452	TSPAN31
chr12	57755103	57755105	ENSG00000139266	MARCHF9
chr12	57771492	57771494	ENSG00000123427	EEF1AKMT3
chr12	57772660	57772662	ENSG00000257921	
chr12	57782761	57782763	ENSG00000123297	TSFM
chr12	40393395	40393397	ENSG00000205592	MUC19
chr12	88033846	88033848	ENSG00000133641	C12orf29
chr12	122167738	122167740	ENSG00000158113	LRRC43
chr12	122203681	122203683	ENSG00000176383	B3GNT4
chr12	98515579	98515581	ENSG00000120802	TMPO
chr12	7129698	7129700	ENSG00000139182	CLSTN3
chr12	7304284	7304286	ENSG00000215009	ACSM4
chr12	69801669	69801671	ENSG00000258052	
chr12	69825227	69825229	ENSG00000166268	MYRFL
chr12	70366290	70366292	ENSG00000135643	KCNMB4
chr12	122019422	122019424	ENSG00000110987	BCL7A
chr12	65278643	65278645	ENSG00000174099	MSRB3
chr12	50057548	50057550	ENSG00000110881	ASIC1
chr12	105235290	105235292	ENSG00000235162	C12orf75
chr12	52079704	52079706	ENSG00000284791	SMIM41
chr12	112418351	112418353	ENSG00000179295	PTPN11
chr12	133181495	133181497	ENSG00000090612	ZNF268
chr12	67648338	67648340	ENSG00000127334	DYRK2
chr12	105107324	105107326	ENSG00000136051	WASHC4
chr12	43758944	43758946	ENSG00000198001	IRAK4
chr12	20810702	20810704	ENSG00000111700	SLCO1B3
chr12	49366584	49366586	ENSG00000123352	SPATS2
chr12	111686056	111686058	ENSG00000111271	ACAD10
chr12	96907257	96907259	ENSG00000139350	NEDD1
chr12	53046969	53046971	ENSG00000111077	TNS2
chr12	6988259	6988261	ENSG00000182326	C1S
chr12	7188685	7188687	ENSG00000139197	PEX5
chr12	109713825	109713827	ENSG00000139438	FAM222A
chr12	18738119	18738121	ENSG00000177938	CAPZA3
chr12	18242961	18242963	ENSG00000139144	PIK3C2G
chr12	120438090	120438092	ENSG00000111775	COX6A1
chr12	120438198	120438200	ENSG00000111780	
chr12	120446444	120446446	ENSG00000257218	GATC
chr12	120469850	120469852	ENSG00000088986	DYNLL1
chr12	48904110	48904112	ENSG00000139537	CCDC65
chr12	48978322	48978324	ENSG00000125084	WNT1
chr12	6724014	6724016	ENSG00000111652	COPS7A
chr12	6772512	6772514	ENSG00000089692	LAG3
chr12	6786858	6786860	ENSG00000010610	CD4
chr12	6821624	6821626	ENSG00000250510	GPR162
chr12	6828407	6828409	ENSG00000110811	P3H3
chr12	6839954	6839956	ENSG00000111664	GNB3
chr12	6873569	6873571	ENSG00000010626	LRRC23
chr12	6913745	6913747	ENSG00000111674	ENO2
chr12	6924463	6924465	ENSG00000111676	ATN1
chr12	6942978	6942980	ENSG00000111678	C12orf57
chr12	6946468	6946470	ENSG00000111679	PTPN6
chr12	6970913	6970915	ENSG00000126749	EMG1
chr12	6867119	6867121	ENSG00000111669	TPI1
chr12	22625141	22625143	ENSG00000139163	ETNK1
chr12	4307763	4307765	ENSG00000078237	TIGAR
chr12	4269771	4269773	ENSG00000118971	CCND2
chr12	55743122	55743124	ENSG00000135414	GDF11
chr12	55818041	55818043	ENSG00000123353	ORMDL2
chr12	55927319	55927321	ENSG00000065357	DGKA
chr12	6765516	6765518	ENSG00000159335	PTMS
chr12	56994492	56994494	ENSG00000166856	GPR182
chr12	57089043	57089045	ENSG00000166886	NAB2
chr12	47963569	47963571	ENSG00000134291	TMEM106C
chr12	123584533	123584535	ENSG00000086598	TMED2
chr12	123602077	123602079	ENSG00000111364	DDX55
chr12	123633739	123633741	ENSG00000111358	GTF2H3
chr12	123712353	123712355	ENSG00000185344	ATP6V0A2
chr12	123762188	123762190	ENSG00000197653	DNAH10
chr12	119171555	119171557	ENSG00000152137	HSPB8
chr12	27466810	27466812	ENSG00000165935	SMCO2
chr12	27523431	27523433	ENSG00000110841	PPFIBP1
chr12	27696447	27696449	ENSG00000174236	REP15
chr12	27710822	27710824	ENSG00000061794	MRPS35
chr12	27780048	27780050	ENSG00000087448	KLHL42
chr12	108515277	108515279	ENSG00000198855	FICD
chr12	108562582	108562584	ENSG00000136003	ISCU
chr12	13196723	13196725	ENSG00000134531	EMP1
chr12	30926428	30926430	ENSG00000110900	TSPAN11
chr12	53006456	53006458	ENSG00000063046	EIF4B
chr12	121210129	121210131	ENSG00000135124	P2RX4
chr12	20695355	20695357	ENSG00000139155	SLCO1C1
chr12	69738860	69738862	ENSG00000127328	RAB3IP
chr12	106583004	106583006	ENSG00000111783	RFX4
chr12	113221050	113221052	ENSG00000186815	TPCN1
chr12	26121991	26121993	ENSG00000123096	SSPN
chr12	49950741	49950743	ENSG00000167580	AQP2
chr12	20368537	20368539	ENSG00000172572	PDE3A
chr12	25195216	25195218	ENSG00000205707	ETFRF1
chr12	109097597	109097599	ENSG00000076248	UNG
chr12	109116595	109116597	ENSG00000076555	ACACB
chr12	109347903	109347905	ENSG00000174527	MYO1H
chr12	109477402	109477404	ENSG00000151148	UBE3B
chr12	109573255	109573257	ENSG00000110921	MVK
chr12	122527246	122527248	ENSG00000184445	KNTC1
chr12	122774526	122774528	ENSG00000130783	CCDC62
chr12	122834453	122834455	ENSG00000130787	HIP1R
chr12	122974580	122974582	ENSG00000111325	OGFOD2
chr12	51888009	51888011	ENSG00000167612	ANKRD33
chr12	51906908	51906910	ENSG00000139567	ACVRL1
chr12	51951699	51951701	ENSG00000135503	ACVR1B
chr12	52006946	52006948	ENSG00000161835	TAMALIN
chr12	52022832	52022834	ENSG00000123358	NR4A1
chr12	103587273	103587275	ENSG00000136011	STAB2
chr12	57546026	57546028	ENSG00000155980	KIF5A
chr12	55681678	55681680	ENSG00000170439	METTL7B
chr12	55716036	55716038	ENSG00000258311	
chr12	55716037	55716039	ENSG00000135441	BLOC1S1
chr12	55720367	55720369	ENSG00000135437	RDH5
chr12	55492378	55492380	ENSG00000205327	OR6C68
chr12	6375045	6375047	ENSG00000111321	LTBR
chr12	6451690	6451692	ENSG00000139192	TAPBPL
chr12	6199715	6199717	ENSG00000010278	CD9
chr12	56752161	56752163	ENSG00000025423	HSD17B6
chr12	53241889	53241891	ENSG00000283536	
chr12	53251251	53251253	ENSG00000182544	MFSD5
chr12	53268299	53268301	ENSG00000135476	ESPL1
chr12	53295291	53295293	ENSG00000123349	PFDN5
chr12	53299695	53299697	ENSG00000139637	MYG1
chr12	53380176	53380178	ENSG00000185591	SP1
chr12	53423855	53423857	ENSG00000135409	AMHR2
chr12	53441678	53441680	ENSG00000205352	PRR13
chr12	54301202	54301204	ENSG00000111481	COPZ1
chr12	6493356	6493358	ENSG00000010292	NCAPD2
chr12	6534512	6534514	ENSG00000111640	GAPDH
chr12	42238447	42238449	ENSG00000134283	PPHLN1
chr12	119593774	119593776	ENSG00000224982	TMEM233
chr12	119667864	119667866	ENSG00000111725	PRKAB1
chr12	104215779	104215781	ENSG00000198431	TXNRD1
chr12	104303739	104303741	ENSG00000255150	EID3
chr12	116738178	116738180	ENSG00000135119	RNFT2
chr12	65824460	65824462	ENSG00000149948	HMGA2
chr12	70243002	70243004	ENSG00000111596	CNOT2
chr12	54280193	54280195	ENSG00000135486	HNRNPA1
chr12	64404392	64404394	ENSG00000184575	XPOT
chr12	4273762	4273764	ENSG00000285901	
chr12	49568218	49568220	ENSG00000110844	PRPF40B
chr12	6852150	6852152	ENSG00000111667	USP5
chr12	6444955	6444957	ENSG00000139193	CD27
chr12	69470349	69470351	ENSG00000166225	FRS2
chr12	133037301	133037303	ENSG00000198040	ZNF84
chr12	121804009	121804011	ENSG00000139718	SETD1B
chr12	4538798	4538800	ENSG00000111247	RAD51AP1
chr12	93467514	93467516	ENSG00000198015	MRPL42
chr12	102120185	102120187	ENSG00000185480	PARPBP
chr12	51590266	51590268	ENSG00000196876	SCN8A
chr12	64452090	64452092	ENSG00000183735	TBK1
chr12	64507001	64507003	ENSG00000153179	RASSF3
chr12	64759496	64759498	ENSG00000288591	
chr12	65169583	65169585	ENSG00000174106	LEMD3
chr12	50923472	50923474	ENSG00000185432	METTL7A
chr12	50953922	50953924	ENSG00000214511	HIGD1C
chr12	51047962	51047964	ENSG00000050426	LETMD1
chr12	131711081	131711083	ENSG00000061936	SFSWAP
chr12	131894622	131894624	ENSG00000177169	ULK1
chr12	131929200	131929202	ENSG00000177192	PUS1
chr12	131828393	131828395	ENSG00000198598	MMP17
chr12	132618776	132618778	ENSG00000187848	P2RX2
chr12	132687587	132687589	ENSG00000176894	PXMP2
chr12	132710819	132710821	ENSG00000247077	PGAM5
chr12	132489551	132489553	ENSG00000112787	FBRSL1
chr12	103930107	103930109	ENSG00000166598	HSP90B1
chr12	103965822	103965824	ENSG00000139372	TDG
chr12	40196744	40196746	ENSG00000188906	LRRK2
chr12	80402178	80402180	ENSG00000139304	PTPRQ
chr12	80099537	80099539	ENSG00000165899	OTOGL
chr12	112905856	112905858	ENSG00000089127	OAS1
chr12	112938051	112938053	ENSG00000111331	OAS3
chr12	112978395	112978397	ENSG00000111335	OAS2
chr12	45215987	45215989	ENSG00000177119	ANO6
chr12	123671110	123671112	ENSG00000168778	TCTN2
chr12	110468415	110468417	ENSG00000204856	FAM216A
chr12	110501655	110501657	ENSG00000151164	RAD9B
chr12	110614027	110614029	ENSG00000204852	TCTN1
chr12	49188736	49188738	ENSG00000167553	TUBA1C
chr12	49293252	49293254	ENSG00000135406	PRPH
chr12	49323236	49323238	ENSG00000135451	TROAP
chr12	49346888	49346890	ENSG00000178401	DNAJC22
chr12	113358566	113358568	ENSG00000151176	PLBD2
chr12	113422380	113422382	ENSG00000139410	SDSL
chr12	55973913	55973915	ENSG00000111540	RAB5B
chr12	55997180	55997182	ENSG00000139531	SUOX
chr12	56007659	56007661	ENSG00000123411	IKZF4
chr12	56041351	56041353	ENSG00000197728	RPS26
chr12	56101331	56101333	ENSG00000257411	
chr12	56104537	56104539	ENSG00000170515	PA2G4
chr12	56116590	56116592	ENSG00000229117	RPL41
chr12	56118250	56118252	ENSG00000139641	ESYT1
chr12	56118260	56118262	ENSG00000135482	ZC3H10
chr12	56152256	56152258	ENSG00000196465	MYL6B
chr12	56158346	56158348	ENSG00000092841	MYL6
chr12	56222015	56222017	ENSG00000139579	NABP2
chr12	56230049	56230051	ENSG00000139540	SLC39A5
chr12	56266890	56266892	ENSG00000135469	COQ10A
chr12	56334174	56334176	ENSG00000110944	IL23A
chr12	21131194	21131196	ENSG00000134538	SLCO1B1
chr12	21354959	21354961	ENSG00000121351	IAPP
chr12	21437615	21437617	ENSG00000121350	PYROXD1
chr12	21501781	21501783	ENSG00000111711	GOLT1B
chr12	21526296	21526298	ENSG00000134548	SPX
chr12	48813794	48813796	ENSG00000167535	CACNB3
chr12	123233385	123233387	ENSG00000130921	C12orf65
chr12	124993645	124993647	ENSG00000184992	BRI3BP
chr12	125065434	125065436	ENSG00000081760	AACS
chr12	66189195	66189197	ENSG00000090376	IRAK3
chr12	66302493	66302495	ENSG00000127311	HELB
chr12	100199122	100199124	ENSG00000075089	ACTR6
chr12	133080923	133080925	ENSG00000196387	ZNF140
chr12	71839707	71839709	ENSG00000121749	TBC1D15
chr12	48328980	48328982	ENSG00000187166	H1-7
chr12	76764115	76764117	ENSG00000186908	ZDHHC17
chr12	54033050	54033052	ENSG00000172789	HOXC5
chr12	120302316	120302318	ENSG00000089163	SIRT4
chr12	55572468	55572470	ENSG00000179615	OR2AP1
chr12	55444069	55444071	ENSG00000179695	OR6C2
chr12	8123617	8123619	ENSG00000111729	CLEC4A
chr12	19129752	19129754	ENSG00000052126	PLEKHA5
chr12	752579	752581	ENSG00000060237	WNK1
chr12	32679200	32679202	ENSG00000087470	DNM1L
chr12	64759484	64759486	ENSG00000111490	TBC1D30
chr12	120533480	120533482	ENSG00000022840	RNF10
chr12	120534697	120534699	ENSG00000288623	
chr12	98593591	98593593	ENSG00000075415	SLC25A3
chr12	98645290	98645292	ENSG00000120868	APAF1
chr12	12611827	12611829	ENSG00000111269	CREBL2
chr12	12725917	12725919	ENSG00000178878	APOLD1
chr12	12813316	12813318	ENSG00000213782	DDX47
chr12	120978543	120978545	ENSG00000135100	HNF1A
chr12	110280756	110280758	ENSG00000174437	ATP2A2
chr12	55966781	55966783	ENSG00000123374	CDK2
chr12	75334670	75334672	ENSG00000173401	GLIPR1L1
chr12	75391089	75391091	ENSG00000180481	GLIPR1L2
chr12	75480753	75480755	ENSG00000139278	GLIPR1
chr12	55549602	55549604	ENSG00000179626	OR6C4
chr12	56076799	56076801	ENSG00000065361	ERBB3
chr12	72087266	72087268	ENSG00000072657	TRHDE
chr12	55362975	55362977	ENSG00000187857	OR6C75
chr12	55426254	55426256	ENSG00000185821	OR6C76
chr12	55314343	55314345	ENSG00000205330	OR6C1
chr12	48472559	48472561	ENSG00000139223	ANP32D
chr12	48482498	48482500	ENSG00000177627	C12orf54
chr12	48525632	48525634	ENSG00000284723	OR8S1
chr12	48559882	48559884	ENSG00000198678	OR5BS1P
chr12	55019974	55019976	ENSG00000123307	NEUROD4
chr12	55126406	55126408	ENSG00000170605	OR9K2
chr12	32399558	32399560	ENSG00000139132	FGD4
chr12	12891559	12891561	ENSG00000013588	GPRC5A
chr12	99647753	99647755	ENSG00000180219	FAM71C
chr12	122980060	122980062	ENSG00000182196	ARL6IP4
chr12	12685498	12685500	ENSG00000111276	CDKN1B
chr12	112013348	112013350	ENSG00000089248	ERP29
chr12	112125538	112125540	ENSG00000135148	TRAFD1
chr12	1970772	1970774	ENSG00000151067	CACNA1C
chr12	113149724	113149726	ENSG00000186710	CFAP73
chr12	128267170	128267172	ENSG00000181234	TMEM132C
chr12	55636892	55636894	ENSG00000175398	OR10P1
chr12	55247288	55247290	ENSG00000197706	OR6C74
chr12	55400529	55400531	ENSG00000205328	OR6C65
chr12	52069246	52069248	ENSG00000123395	ATG101
chr12	10010627	10010629	ENSG00000256660	CLEC12B
chr12	55330043	55330045	ENSG00000205329	OR6C3
chr12	68808177	68808179	ENSG00000135679	MDM2
chr12	92702843	92702845	ENSG00000187510	PLEKHG7
chr12	130162459	130162461	ENSG00000111432	FZD10
chr12	10170542	10170544	ENSG00000165685	TMEM52B
chr12	28133249	28133251	ENSG00000123106	CCDC91
chr12	6310436	6310438	ENSG00000008323	PLEKHG6
chr12	113056709	113056711	ENSG00000135144	DTX1
chr12	14365676	14365678	ENSG00000171681	ATF7IP
chr12	25004342	25004344	ENSG00000118308	IRAG2
chr12	107685799	107685801	ENSG00000136045	PWP1
chr12	107774704	107774706	ENSG00000187855	ASCL4
chr12	125186386	125186388	ENSG00000139364	TMEM132B
chr12	53452102	53452104	ENSG00000197111	PCBP2
chr12	53500921	53500923	ENSG00000139546	TARBP2
chr13	24307166	24307168	ENSG00000240654	C1QTNF9
chr13	24764169	24764171	ENSG00000132972	RNF17
chr13	21140514	21140516	ENSG00000150459	SAP18
chr13	28659130	28659132	ENSG00000132963	POMP
chr13	19633659	19633661	ENSG00000196199	MPHOSPH8
chr13	30422488	30422490	ENSG00000236444	UBE2L5
chr13	36431520	36431522	ENSG00000133101	CCNA1
chr13	21671073	21671075	ENSG00000102678	FGF9
chr13	30617693	30617695	ENSG00000132952	USPL1
chr13	27920000	27920002	ENSG00000139515	PDX1
chr13	44989529	44989531	ENSG00000133114	GPALPP1
chr13	23979700	23979702	ENSG00000273167	
chr13	28138506	28138508	ENSG00000152520	PAN3
chr13	40789412	40789414	ENSG00000102743	SLC25A15
chr13	43023203	43023205	ENSG00000120675	DNAJC15
chr13	45120510	45120512	ENSG00000188342	GTF2F2
chr13	26557706	26557708	ENSG00000132970	WASF3
chr13	44373665	44373667	ENSG00000151778	SERP2
chr13	48975912	48975914	ENSG00000102531	FNDC3A
chr13	49444374	49444376	ENSG00000136169	SETDB2
chr13	43879558	43879560	ENSG00000179630	LACC1
chr13	63746741	63746743	ENSG00000237378	
chr13	49495610	49495612	ENSG00000136147	PHF11
chr13	42272152	42272154	ENSG00000023516	AKAP11
chr13	33016433	33016435	ENSG00000133116	KL
chr13	72782133	72782135	ENSG00000083535	PIBF1
chr13	72727923	72727925	ENSG00000136122	BORA
chr13	27424619	27424621	ENSG00000122034	GTF3A
chr13	31199975	31199977	ENSG00000187676	B3GLCT
chr13	43883800	43883802	ENSG00000281883	
chr13	21176658	21176660	ENSG00000173141	MRPL57
chr13	77535724	77535726	ENSG00000136155	SCEL
chr13	38687077	38687079	ENSG00000150893	FREM2
chr13	57147488	57147490	ENSG00000204918	PRR20B
chr13	57160632	57160634	ENSG00000227151	PRR20D
chr13	57167197	57167199	ENSG00000234278	PRR20E
chr13	38349849	38349851	ENSG00000120686	UFM1
chr13	73054976	73054978	ENSG00000102554	KLF5
chr13	45702320	45702322	ENSG00000174015	CBY2
chr13	99200774	99200776	ENSG00000134882	UBAC2
chr13	33818149	33818151	ENSG00000133119	RFC3
chr13	99446311	99446313	ENSG00000125304	TM9SF2
chr13	77697888	77697890	ENSG00000139737	SLAIN1
chr13	23979805	23979807	ENSG00000182957	SPATA13
chr13	39038306	39038308	ENSG00000188811	NHLRC3
chr13	53028813	53028815	ENSG00000102837	OLFM4
chr13	57140918	57140920	ENSG00000204919	PRR20A
chr13	97953658	97953660	ENSG00000065150	IPO5
chr13	57631810	57631812	ENSG00000118946	PCDH17
chr13	75620434	75620436	ENSG00000136153	LMO7
chr13	41061509	41061511	ENSG00000120688	WBP4
chr13	36674020	36674022	ENSG00000180440	SERTM1
chr13	26254104	26254106	ENSG00000132964	CDK8
chr13	99606669	99606671	ENSG00000125246	CLYBL
chr13	79481152	79481154	ENSG00000102471	NDFIP2
chr13	45464898	45464900	ENSG00000136152	COG3
chr13	46553168	46553170	ENSG00000136141	LRCH1
chr13	94601857	94601859	ENSG00000152749	GPR180
chr13	25301625	25301627	ENSG00000139496	NUP58
chr13	49247925	49247927	ENSG00000102543	CDADC1
chr13	39655627	39655629	ENSG00000133103	COG6
chr13	30906271	30906273	ENSG00000102802	MEDAG
chr13	110305812	110305814	ENSG00000134871	COL4A2
chr13	57154061	57154063	ENSG00000229665	PRR20C
chr13	114154691	114154693	ENSG00000283361	CFAP97D2
chr13	95677139	95677141	ENSG00000102580	DNAJC3
chr13	112067149	112067151	ENSG00000182968	SOX1
chr13	30932703	30932705	ENSG00000175664	TEX26
chr13	113297239	113297241	ENSG00000185896	LAMP1
chr13	108596152	108596154	ENSG00000041515	MYO16
chr13	51584455	51584457	ENSG00000139668	WDFY2
chr13	114234934	114234936	ENSG00000130177	CDC16
chr13	113584721	113584723	ENSG00000198176	TFDP1
chr13	112376355	112376357	ENSG00000153498	SPACA7
chr13	95433604	95433606	ENSG00000134873	CLDN10
chr13	114314503	114314505	ENSG00000198824	CHAMP1
chr13	114281601	114281603	ENSG00000169062	UPF3A
chr13	113158648	113158650	ENSG00000126231	PROZ
chr13	113759240	113759242	ENSG00000184497	TMEM255B
chr13	100089093	100089095	ENSG00000175198	PCCA
chr13	99981784	99981786	ENSG00000043355	ZIC2
chr13	113667219	113667221	ENSG00000185974	GRK1
chr13	113491021	113491023	ENSG00000150403	TMCO3
chr13	113122814	113122816	ENSG00000126218	F10
chr13	91398621	91398623	ENSG00000179399	GPC5
chr13	112894378	112894380	ENSG00000126217	MCF2L
chr13	27792483	27792485	ENSG00000169840	GSX1
chr13	49628507	49628509	ENSG00000152213	ARL11
chr13	93226807	93226809	ENSG00000183098	GPC6
chr13	113208836	113208838	ENSG00000139842	CUL4A
chr13	101452675	101452677	ENSG00000198542	ITGBL1
chr13	49220338	49220340	ENSG00000102539	MLNR
chr13	98142562	98142564	ENSG00000152767	FARP1
chr13	42781584	42781586	ENSG00000179813	FAM216B
chr13	42562736	42562738	ENSG00000120659	TNFSF11
chr13	48232612	48232614	ENSG00000136156	ITM2B
chr13	49995888	49995890	ENSG00000204977	TRIM13
chr13	50015254	50015256	ENSG00000198553	KCNRG
chr13	50909747	50909749	ENSG00000136104	RNASEH2B
chr13	51222334	51222336	ENSG00000150510	FAM124A
chr13	36998816	36998818	ENSG00000120699	EXOSC8
chr13	36819222	36819224	ENSG00000133111	RFXAP
chr13	27620742	27620744	ENSG00000186184	POLR1D
chr13	113105791	113105793	ENSG00000057593	F7
chr13	27270830	27270832	ENSG00000122035	RASL11A
chr13	46211940	46211942	ENSG00000173988	LRRC63
chr13	102596986	102596988	ENSG00000134900	TPP2
chr13	102799110	102799112	ENSG00000270181	BIVM-ERCC5
chr13	102799119	102799121	ENSG00000134897	BIVM
chr13	48037726	48037728	ENSG00000136159	NUDT15
chr13	48303744	48303746	ENSG00000139687	RB1
chr13	23180979	23180981	ENSG00000102683	SGCG
chr13	24680408	24680410	ENSG00000075673	ATP12A
chr13	42048648	42048650	ENSG00000102780	DGKH
chr13	75549480	75549482	ENSG00000118939	UCHL3
chr13	108218392	108218394	ENSG00000139826	ABHD13
chr13	60396457	60396459	ENSG00000083544	TDRD3
chr13	30735543	30735545	ENSG00000132965	ALOX5AP
chr13	20567157	20567159	ENSG00000032742	IFT88
chr13	23570412	23570414	ENSG00000127863	TNFRSF19
chr13	110712736	110712738	ENSG00000153487	ING1
chr13	41311267	41311269	ENSG00000172766	NAA16
chr13	41457550	41457552	ENSG00000102760	RGCC
chr13	97434169	97434171	ENSG00000125249	RAP2A
chr13	97221434	97221436	ENSG00000139793	MBNL2
chr13	110615545	110615547	ENSG00000213995	NAXD
chr13	19958677	19958679	ENSG00000121741	ZMYM2
chr13	31739526	31739528	ENSG00000133105	RXFP2
chr13	31846713	31846715	ENSG00000073910	FRY
chr13	32586452	32586454	ENSG00000083642	PDS5B
chr13	32315086	32315088	ENSG00000139618	BRCA2
chr13	105465867	105465869	ENSG00000182346	DAOA
chr13	34942270	34942272	ENSG00000172915	NBEA
chr13	52024691	52024693	ENSG00000253797	UTP14C
chr13	52012391	52012393	ENSG00000253710	ALG11
chr13	96090107	96090109	ENSG00000185352	HS6ST3
chr13	51861969	51861971	ENSG00000123171	CCDC70
chr13	28820339	28820341	ENSG00000132938	MTUS2
chr13	108251240	108251242	ENSG00000102524	TNFSF13B
chr13	25096136	25096138	ENSG00000151846	PABPC3
chr13	25371974	25371976	ENSG00000132932	ATP8A2
chr13	111114559	111114561	ENSG00000102606	ARHGEF7
chr13	111316184	111316186	ENSG00000153495	TEX29
chr13	76948511	76948513	ENSG00000102794	ACOD1
chr13	76990660	76990662	ENSG00000102805	CLN5
chr13	76992078	76992080	ENSG00000283208	
chr13	51335773	51335775	ENSG00000253309	SERPINE3
chr13	27251558	27251560	ENSG00000122026	RPL21
chr13	102845831	102845833	ENSG00000134899	ERCC5
chr13	20702127	20702129	ENSG00000172458	IL17D
chr13	87672615	87672617	ENSG00000165300	SLITRK5
chr13	112690329	112690331	ENSG00000068650	ATP11A
chr13	48653711	48653713	ENSG00000152207	CYSLTR2
chr13	52455429	52455431	ENSG00000136108	CKAP2
chr13	52642431	52642433	ENSG00000139675	HNRNPA1L2
chr13	52652709	52652711	ENSG00000165416	SUGT1
chr14	18967434	18967436	ENSG00000222036	POTEM
chr14	31489956	31489958	ENSG00000151413	NUBPL
chr14	32076114	32076116	ENSG00000100852	ARHGAP5
chr14	35121846	35121848	ENSG00000100890	PRORP
chr14	52267698	52267700	ENSG00000168229	PTGDR
chr14	49598940	49598942	ENSG00000165501	LRR1
