gene	distance	cell
ENSG00000172748	17234	GM12878
ENSG00000172748	29104	GM12878
ENSG00000036448	450066	GM12878
ENSG00000183117	239573	GM12878
ENSG00000147316	1084726	GM12878
ENSG00000147316	67271	GM12878
ENSG00000147316	47230	GM12878
ENSG00000091879	67257	GM12878
ENSG00000155189	37848	GM12878
ENSG00000164822	3845	GM12878
ENSG00000275342	202308	GM12878
ENSG00000275342	61194	GM12878
ENSG00000275342	52310	GM12878
ENSG00000275342	27223	GM12878
ENSG00000275342	23040	GM12878
ENSG00000275342	20744	GM12878
ENSG00000253958	132656	GM12878
ENSG00000253958	83332	GM12878
ENSG00000253958	75762	GM12878
ENSG00000147324	21420	GM12878
ENSG00000173281	31730	GM12878
ENSG00000173281	23905	GM12878
ENSG00000173273	53170	GM12878
ENSG00000254093	5615	GM12878
ENSG00000136573	5124	GM12878
ENSG00000079459	4841	GM12878
ENSG00000205884	48184	GM12878
ENSG00000156011	27675	GM12878
ENSG00000156011	82711	GM12878
ENSG00000061337	13677	GM12878
ENSG00000061337	124003	GM12878
ENSG00000168546	613843	GM12878
ENSG00000158856	3068	GM12878
ENSG00000168476	5515	GM12878
ENSG00000179388	7485	GM12878
ENSG00000179388	20596	GM12878
ENSG00000179388	22005	GM12878
ENSG00000179388	25436	GM12878
ENSG00000134020	44552	GM12878
ENSG00000120889	13187	GM12878
ENSG00000284956	15348	GM12878
ENSG00000173535	55	GM12878
ENSG00000104689	233	GM12878
ENSG00000147437	104699	GM12878
ENSG00000092964	58045	GM12878
ENSG00000092964	78194	GM12878
ENSG00000092964	103897	GM12878
ENSG00000120907	71770	GM12878
ENSG00000120907	65151	GM12878
ENSG00000104228	946	GM12878
ENSG00000120899	52211	GM12878
ENSG00000120899	55127	GM12878
ENSG00000120899	68894	GM12878
ENSG00000168077	17074	GM12878
ENSG00000134014	3338	GM12878
ENSG00000214050	45630	GM12878
ENSG00000012232	94341	GM12878
ENSG00000147421	127419	GM12878
ENSG00000120875	206141	GM12878
ENSG00000133872	345484	GM12878
ENSG00000133872	312148	GM12878
ENSG00000104671	55520	GM12878
ENSG00000157110	63755	GM12878
ENSG00000197265	30388	GM12878
ENSG00000165392	138492	GM12878
ENSG00000286131	138041	GM12878
ENSG00000286131	272645	GM12878
ENSG00000172728	343265	GM12878
ENSG00000172728	290075	GM12878
ENSG00000215262	139316	GM12878
ENSG00000020181	8072	GM12878
ENSG00000147526	41867	GM12878
ENSG00000169499	35924	GM12878
ENSG00000168615	5878	GM12878
ENSG00000131203	7737	GM12878
ENSG00000165061	38023	GM12878
ENSG00000165066	68941	GM12878
ENSG00000029534	27249	GM12878
ENSG00000029534	21053	GM12878
ENSG00000083168	337	GM12878
ENSG00000168575	31958	GM12878
ENSG00000147432	7357	GM12878
ENSG00000147434	16346	GM12878
ENSG00000165102	2516	GM12878
ENSG00000164808	303851	GM12878
ENSG00000169139	143168	GM12878
ENSG00000168333	49218	GM12878
ENSG00000168333	56015	GM12878
ENSG00000168333	117509	GM12878
ENSG00000168333	324370	GM12878
ENSG00000147481	669957	GM12878
ENSG00000168300	129267	GM12878
ENSG00000168300	25869	GM12878
ENSG00000168300	38366	GM12878
ENSG00000196711	18456	GM12878
ENSG00000196711	33441	GM12878
ENSG00000196711	39270	GM12878
ENSG00000082556	15332	GM12878
ENSG00000082556	21043	GM12878
ENSG00000047249	5432	GM12878
ENSG00000147509	48075	GM12878
ENSG00000187735	76421	GM12878
ENSG00000137547	63961	GM12878
ENSG00000206579	108783	GM12878
ENSG00000206579	113039	GM12878
ENSG00000137574	647	GM12878
ENSG00000008988	63242	GM12878
ENSG00000008988	368	GM12878
ENSG00000170791	43005	GM12878
ENSG00000181195	54192	GM12878
ENSG00000104331	87392	GM12878
ENSG00000104331	41013	GM12878
ENSG00000104331	404956	GM12878
ENSG00000169122	5195	GM12878
ENSG00000169122	5932	GM12878
ENSG00000215114	154664	GM12878
ENSG00000035681	60798	GM12878
ENSG00000035681	72807	GM12878
ENSG00000198846	564690	GM12878
ENSG00000178538	412526	GM12878
ENSG00000177182	140349	GM12878
ENSG00000177182	127436	GM12878
ENSG00000177182	68957	GM12878
ENSG00000198363	23019	GM12878
ENSG00000185728	76	GM12878
ENSG00000172817	247809	GM12878
ENSG00000066855	68597	GM12878
ENSG00000147570	44670	GM12878
ENSG00000147573	13092	GM12878
ENSG00000147573	2450	GM12878
ENSG00000185697	22489	GM12878
ENSG00000165078	80718	GM12878
ENSG00000165084	299748	GM12878
ENSG00000137573	15862	GM12878
ENSG00000137571	16443	GM12878
ENSG00000147596	85639	GM12878
ENSG00000140396	62852	GM12878
ENSG00000140396	62350	GM12878
ENSG00000140396	43380	GM12878
ENSG00000164764	82096	GM12878
ENSG00000104381	15872	GM12878
ENSG00000164749	181759	GM12878
ENSG00000091656	183157	GM12878
ENSG00000091656	5942	GM12878
ENSG00000164751	550465	GM12878
ENSG00000104432	65726	GM12878
ENSG00000104432	156920	GM12878
ENSG00000104432	381196	GM12878
ENSG00000104432	385464	GM12878
ENSG00000276418	11801	GM12878
ENSG00000205189	15644	GM12878
ENSG00000205189	82791	GM12878
ENSG00000205189	95944	GM12878
ENSG00000104497	320318	GM12878
ENSG00000104497	920762	GM12878
ENSG00000176731	19742	GM12878
ENSG00000185015	11710	GM12878
ENSG00000164879	13979	GM12878
ENSG00000104267	557	GM12878
ENSG00000104267	176251	GM12878
ENSG00000104267	184266	GM12878
ENSG00000104267	257945	GM12878
ENSG00000147614	255853	GM12878
ENSG00000147614	230503	GM12878
ENSG00000147614	218229	GM12878
ENSG00000147614	202975	GM12878
ENSG00000147614	190866	GM12878
ENSG00000147614	178521	GM12878
ENSG00000147614	166452	GM12878
ENSG00000123124	560	GM12878
ENSG00000176623	48368	GM12878
ENSG00000104312	214890	GM12878
ENSG00000104320	35966	GM12878
ENSG00000104320	266	GM12878
ENSG00000180694	902	GM12878
ENSG00000253250	32449	GM12878
ENSG00000205133	430383	GM12878
ENSG00000188343	178976	GM12878
ENSG00000183808	5278	GM12878
ENSG00000164953	3312	GM12878
ENSG00000164951	132917	GM12878
ENSG00000164949	78029	GM12878
ENSG00000104413	16331	GM12878
ENSG00000164938	111	GM12878
ENSG00000156466	387278	GM12878
ENSG00000147649	12326	GM12878
ENSG00000147649	36048	GM12878
ENSG00000104361	34278	GM12878
ENSG00000156486	61846	GM12878
ENSG00000104375	228473	GM12878
ENSG00000164919	138963	GM12878
ENSG00000186106	114344	GM12878
ENSG00000186106	64906	GM12878
ENSG00000186106	60094	GM12878
ENSG00000186106	59249	GM12878
ENSG00000186106	56706	GM12878
ENSG00000174226	23947	GM12878
ENSG00000164924	100744	GM12878
ENSG00000164924	112916	GM12878
ENSG00000120963	39927	GM12878
ENSG00000104490	111383	GM12878
ENSG00000104490	120141	GM12878
ENSG00000048392	1796	GM12878
ENSG00000048392	30	GM12878
ENSG00000155087	20282	GM12878
ENSG00000155087	16688	GM12878
ENSG00000155087	15443	GM12878
ENSG00000155087	16401	GM12878
ENSG00000164935	265993	GM12878
ENSG00000164935	203939	GM12878
ENSG00000164935	162958	GM12878
ENSG00000164935	59937	GM12878
ENSG00000169946	304343	GM12878
ENSG00000164830	63775	GM12878
ENSG00000174429	161319	GM12878
ENSG00000174429	112511	GM12878
ENSG00000104408	45090	GM12878
ENSG00000104412	128938	GM12878
ENSG00000164794	517817	GM12878
ENSG00000164794	1048724	GM12878
ENSG00000164794	1422363	GM12878
ENSG00000164796	703237	GM12878
ENSG00000164796	626305	GM12878
ENSG00000164796	443525	GM12878
ENSG00000164796	921127	GM12878
ENSG00000164796	921470	GM12878
ENSG00000104447	556938	GM12878
ENSG00000104447	495873	GM12878
ENSG00000182197	111099	GM12878
ENSG00000177570	90776	GM12878
ENSG00000136982	10455	GM12878
ENSG00000172167	6909	GM12878
ENSG00000172164	80266	GM12878
ENSG00000172164	123358	GM12878
ENSG00000178764	442325	GM12878
ENSG00000147689	39192	GM12878
ENSG00000156802	71	GM12878
ENSG00000175946	40014	GM12878
ENSG00000214814	6638	GM12878
ENSG00000214814	252861	GM12878
ENSG00000164983	91287	GM12878
ENSG00000156831	97355	GM12878
ENSG00000173334	357050	GM12878
ENSG00000168672	21481	GM12878
ENSG00000168672	318254	GM12878
ENSG00000212993	132620	GM12878
ENSG00000212993	114645	GM12878
ENSG00000212993	112078	GM12878
ENSG00000212993	111283	GM12878
ENSG00000212993	53009	GM12878
ENSG00000136997	73789	GM12878
ENSG00000136997	60100	GM12878
ENSG00000147697	205827	GM12878
ENSG00000153317	14441	GM12878
ENSG00000153317	56321	GM12878
ENSG00000153317	258844	GM12878
ENSG00000153317	318836	GM12878
ENSG00000155897	354953	GM12878
ENSG00000155897	251524	GM12878
ENSG00000132294	288434	GM12878
ENSG00000253117	33693	GM12878
ENSG00000184156	76746	GM12878
ENSG00000042832	28872	GM12878
ENSG00000155926	36868	GM12878
ENSG00000066827	458368	GM12878
ENSG00000066827	95984	GM12878
ENSG00000066827	94260	GM12878
ENSG00000066827	53972	GM12878
ENSG00000131773	1073754	GM12878
ENSG00000147724	739361	GM12878
ENSG00000147724	349925	GM12878
ENSG00000169427	191606	GM12878
ENSG00000123908	63776	GM12878
ENSG00000123908	149518	GM12878
ENSG00000169398	7584	GM12878
ENSG00000105339	27152	GM12878
ENSG00000184489	10549	GM12878
ENSG00000226490	48367	GM12878
ENSG00000171045	74643	GM12878
ENSG00000171045	7245	GM12878
ENSG00000198576	39385	GM12878
ENSG00000104499	17779	GM12878
ENSG00000160932	6470	GM12878
ENSG00000261667	36588	GM12878
ENSG00000185730	7902	GM12878
ENSG00000182759	48585	GM12878
ENSG00000014164	3743	GM12878
ENSG00000185189	4188	GM12878
ENSG00000261150	7434	GM12878
ENSG00000178209	10812	GM12878
ENSG00000178209	2779	GM12878
ENSG00000185000	14181	GM12878
ENSG00000160949	5230	GM12878
ENSG00000198169	53187	GM12878
ENSG00000197363	7194	GM12878
ENSG00000137090	57896	GM12878
ENSG00000064218	32532	GM12878
ENSG00000080503	272400	GM12878
ENSG00000080503	103956	GM12878
ENSG00000080503	99801	GM12878
ENSG00000080503	2763	GM12878
ENSG00000080503	32117	GM12878
ENSG00000080503	60657	GM12878
ENSG00000080503	248530	GM12878
ENSG00000080298	47136	GM12878
ENSG00000080298	16549	GM12878
ENSG00000080298	4563	GM12878
ENSG00000107249	164211	GM12878
ENSG00000147853	1922	GM12878
ENSG00000120158	3840	GM12878
ENSG00000120217	12157	GM12878
ENSG00000120217	16866	GM12878
ENSG00000197646	4550	GM12878
ENSG00000197646	6322	GM12878
ENSG00000197646	55363	GM12878
ENSG00000107036	45236	GM12878
ENSG00000107036	42201	GM12878
ENSG00000107036	2004	GM12878
ENSG00000107036	1592	GM12878
ENSG00000099219	35638	GM12878
ENSG00000137040	6963	GM12878
ENSG00000137040	71466	GM12878
ENSG00000137040	98679	GM12878
ENSG00000137033	2165	GM12878
ENSG00000107077	29895	GM12878
ENSG00000107077	143322	GM12878
ENSG00000137038	1191183	GM12878
ENSG00000153707	730951	GM12878
ENSG00000153707	553555	GM12878
ENSG00000153707	180243	GM12878
ENSG00000153707	487519	GM12878
ENSG00000147862	151567	GM12878
ENSG00000164985	76	GM12878
ENSG00000173068	434434	GM12878
ENSG00000173068	233032	GM12878
ENSG00000178031	17210	GM12878
ENSG00000137145	16389	GM12878
ENSG00000177076	432	GM12878
ENSG00000171843	345350	GM12878
ENSG00000188352	17578	GM12878
ENSG00000264545	30611	GM12878
ENSG00000099810	30611	GM12878
ENSG00000147883	125131	GM12878
ENSG00000107105	119849	GM12878
ENSG00000198680	489487	GM12878
ENSG00000184434	28775	GM12878
ENSG00000120160	65242	GM12878
ENSG00000147894	88641	GM12878
ENSG00000147894	109607	GM12878
ENSG00000147894	513422	GM12878
ENSG00000174482	369093	GM12878
ENSG00000174482	363987	GM12878
ENSG00000174482	340594	GM12878
ENSG00000122729	1608977	GM12878
ENSG00000122729	1422054	GM12878
ENSG00000188133	33076	GM12878
ENSG00000122711	16263	GM12878
ENSG00000122711	15563	GM12878
ENSG00000086102	5748	GM12878
ENSG00000230453	35717	GM12878
ENSG00000107341	59709	GM12878
ENSG00000137073	23511	GM12878
ENSG00000168913	23501	GM12878
ENSG00000213927	744	GM12878
ENSG00000165282	139	GM12878
ENSG00000198853	161725	GM12878
ENSG00000215183	7374	GM12878
ENSG00000137098	1122	GM12878
ENSG00000285645	2270	GM12878
ENSG00000204930	2270	GM12878
ENSG00000122707	37959	GM12878
ENSG00000159921	8989	GM12878
ENSG00000165304	21980	GM12878
ENSG00000196092	147534	GM12878
ENSG00000196092	60659	GM12878
ENSG00000196092	39962	GM12878
ENSG00000147905	89121	GM12878
ENSG00000137106	13278	GM12878
ENSG00000168795	247	GM12878
ENSG00000107338	82104	GM12878
ENSG00000107338	139420	GM12878
ENSG00000180071	11183	GM12878
ENSG00000283329	166647	GM12878
ENSG00000283329	174746	GM12878
ENSG00000283886	209155	GM12878
ENSG00000283886	55480	GM12878
ENSG00000283886	61626	GM12878
ENSG00000283886	156112	GM12878
ENSG00000183148	52420	GM12878
ENSG00000183148	272011	GM12878
ENSG00000183148	368658	GM12878
ENSG00000183148	413954	GM12878
ENSG00000273514	334521	GM12878
ENSG00000215126	45486	GM12878
ENSG00000215126	244873	GM12878
ENSG00000215126	337378	GM12878
ENSG00000215126	343877	GM12878
ENSG00000154529	407091	GM12878
ENSG00000185775	234956	GM12878
ENSG00000185775	1084705	GM12878
ENSG00000283378	262161	GM12878
ENSG00000283378	525052	GM12878
ENSG00000283378	603015	GM12878
ENSG00000283378	780785	GM12878
ENSG00000283378	788888	GM12878
ENSG00000283378	983177	GM12878
ENSG00000283378	989576	GM12878
ENSG00000283378	1349452	GM12878
ENSG00000172014	1471420	GM12878
ENSG00000172014	1239746	GM12878
ENSG00000172014	1038270	GM12878
ENSG00000172014	932357	GM12878
ENSG00000172014	741828	GM12878
ENSG00000172014	551931	GM12878
ENSG00000172014	550833	GM12878
ENSG00000172014	265891	GM12878
ENSG00000172014	391068	GM12878
ENSG00000204779	370241	GM12878
ENSG00000204779	144405	GM12878
ENSG00000204779	40291	GM12878
ENSG00000204779	38722	GM12878
ENSG00000184659	38802	GM12878
ENSG00000184659	40494	GM12878
ENSG00000184659	144222	GM12878
ENSG00000276203	13036	GM12878
ENSG00000276203	232146	GM12878
ENSG00000260691	364046	GM12878
ENSG00000260691	355886	GM12878
ENSG00000260691	177970	GM12878
ENSG00000260691	108235	GM12878
ENSG00000260691	107623	GM12878
ENSG00000260691	79031	GM12878
ENSG00000165059	64156	GM12878
ENSG00000165072	67190	GM12878
ENSG00000119138	39107	GM12878
ENSG00000155621	9195	GM12878
ENSG00000119125	39275	GM12878
ENSG00000107372	67134	GM12878
ENSG00000165092	208850	GM12878
ENSG00000135046	532178	GM12878
ENSG00000135046	584452	GM12878
ENSG00000198963	155540	GM12878
ENSG00000135002	342	GM12878
ENSG00000197969	38870	GM12878
ENSG00000197969	93525	GM12878
ENSG00000156049	68362	GM12878
ENSG00000156049	67386	GM12878
ENSG00000156052	50111	GM12878
ENSG00000156052	33786	GM12878
ENSG00000135069	8372	GM12878
ENSG00000106829	545215	GM12878
ENSG00000106829	106552	GM12878
ENSG00000106829	2545	GM12878
ENSG00000196781	96921	GM12878
ENSG00000214929	32405	GM12878
ENSG00000178966	22561	GM12878
ENSG00000197506	176057	GM12878
ENSG00000197506	101515	GM12878
ENSG00000197506	39820	GM12878
ENSG00000148053	155425	GM12878
ENSG00000135052	15765	GM12878
ENSG00000083223	136863	GM12878
ENSG00000196730	152695	GM12878
ENSG00000177992	74457	GM12878
ENSG00000130045	13735	GM12878
ENSG00000148082	44158	GM12878
ENSG00000187764	50730	GM12878
ENSG00000187764	3825	GM12878
ENSG00000130222	48428	GM12878
ENSG00000130222	81086	GM12878
ENSG00000130222	96351	GM12878
ENSG00000130222	162121	GM12878
ENSG00000130222	162421	GM12878
ENSG00000165023	432112	GM12878
ENSG00000165025	140859	GM12878
ENSG00000148090	183122	GM12878
ENSG00000169071	14834	GM12878
ENSG00000090054	67125	GM12878
ENSG00000196305	59774	GM12878
ENSG00000198000	12023	GM12878
ENSG00000106823	23770	GM12878
ENSG00000127080	36226	GM12878
ENSG00000127080	47176	GM12878
ENSG00000185963	5707	GM12878
ENSG00000185963	35393	GM12878
ENSG00000127084	40557	GM12878
ENSG00000131669	1211	GM12878
ENSG00000131669	7025	GM12878
ENSG00000048828	11053	GM12878
ENSG00000197724	36262	GM12878
ENSG00000158079	13291	GM12878
ENSG00000148120	191309	GM12878
ENSG00000158169	119672	GM12878
ENSG00000158169	17077	GM12878
ENSG00000182150	65708	GM12878
ENSG00000130948	16889	GM12878
ENSG00000136943	130065	GM12878
ENSG00000196116	47021	GM12878
ENSG00000136932	95	GM12878
ENSG00000106785	16969	GM12878
ENSG00000095383	92867	GM12878
ENSG00000136928	102175	GM12878
ENSG00000165138	11699	GM12878
ENSG00000106803	31914	GM12878
ENSG00000106803	215945	GM12878
ENSG00000136874	1234	GM12878
ENSG00000136891	20079	GM12878
ENSG00000136891	22669	GM12878
ENSG00000148123	28227	GM12878
ENSG00000136824	161552	GM12878
ENSG00000186881	16627	GM12878
ENSG00000106692	52139	GM12878
ENSG00000095209	169985	GM12878
ENSG00000119318	151877	GM12878
ENSG00000119318	33607	GM12878
ENSG00000119318	22289	GM12878
ENSG00000136826	249641	GM12878
ENSG00000148156	487934	GM12878
ENSG00000187003	2221	GM12878
ENSG00000188959	232586	GM12878
ENSG00000188959	78375	GM12878
ENSG00000188959	63268	GM12878
ENSG00000188959	58759	GM12878
ENSG00000165124	33711	GM12878
ENSG00000059769	55	GM12878
ENSG00000148154	22009	GM12878
ENSG00000148154	68356	GM12878
ENSG00000148154	115558	GM12878
ENSG00000148154	131564	GM12878
ENSG00000148154	135276	GM12878
ENSG00000106868	112710	GM12878
ENSG00000106868	41033	GM12878
ENSG00000106868	29969	GM12878
ENSG00000119314	33736	GM12878
ENSG00000165185	110527	GM12878
ENSG00000148153	35495	GM12878
ENSG00000119457	32112	GM12878
ENSG00000138835	72332	GM12878
ENSG00000138835	134284	GM12878
ENSG00000229314	46021	GM12878
ENSG00000106948	10168	GM12878
ENSG00000106948	16564	GM12878
ENSG00000106952	3957	GM12878
ENSG00000041982	81110	GM12878
ENSG00000182752	209018	GM12878
ENSG00000119401	98247	GM12878
ENSG00000119401	168875	GM12878
ENSG00000148219	316909	GM12878
ENSG00000136869	340415	GM12878
ENSG00000078725	89314	GM12878
ENSG00000136861	223947	GM12878
ENSG00000136861	31008	GM12878
ENSG00000119396	45245	GM12878
ENSG00000148175	47432	GM12878
ENSG00000136848	4466	GM12878
ENSG00000106852	18208	GM12878
ENSG00000197233	10807	GM12878
ENSG00000171505	10596	GM12878
ENSG00000171501	1431	GM12878
ENSG00000148204	19435	GM12878
ENSG00000148204	62417	GM12878
ENSG00000119522	100023	GM12878
ENSG00000106689	71970	GM12878
ENSG00000119408	119950	GM12878
ENSG00000119408	2914	GM12878
ENSG00000119408	34255	GM12878
ENSG00000180264	14558	GM12878
ENSG00000136931	96722	GM12878
ENSG00000136931	114330	GM12878
ENSG00000136918	34999	GM12878
ENSG00000136935	84476	GM12878
ENSG00000119487	196598	GM12878
ENSG00000119487	56471	GM12878
ENSG00000119487	3632	GM12878
ENSG00000196814	114858	GM12878
ENSG00000136944	36186	GM12878
ENSG00000169155	10749	GM12878
ENSG00000136895	70477	GM12878
ENSG00000167094	2515	GM12878
ENSG00000136877	547	GM12878
ENSG00000167106	10228	GM12878
ENSG00000167106	2613	GM12878
ENSG00000197694	20072	GM12878
ENSG00000175287	9935	GM12878
ENSG00000136819	53110	GM12878
ENSG00000187239	50770	GM12878
ENSG00000148357	64653	GM12878
ENSG00000188710	79410	GM12878
ENSG00000188710	10397	GM12878
ENSG00000050555	16165	GM12878
ENSG00000126883	64642	GM12878
ENSG00000283526	76703	GM12878
ENSG00000165702	544	GM12878
ENSG00000148308	28240	GM12878
ENSG00000148308	170	GM12878
ENSG00000170835	271	GM12878
ENSG00000170835	19506	GM12878
ENSG00000170835	19784	GM12878
ENSG00000160271	6799	GM12878
ENSG00000160271	24858	GM12878
ENSG00000175164	9820	GM12878
ENSG00000160325	2554	GM12878
ENSG00000160326	13682	GM12878
ENSG00000123453	46092	GM12878
ENSG00000160293	110747	GM12878
ENSG00000160293	103586	GM12878
ENSG00000160293	46661	GM12878
ENSG00000186350	73954	GM12878
ENSG00000160339	80681	GM12878
ENSG00000130558	58782	GM12878
ENSG00000204007	5050	GM12878
ENSG00000238227	8396	GM12878
ENSG00000160360	9642	GM12878
ENSG00000148400	37374	GM12878
ENSG00000148400	38983	GM12878
ENSG00000172889	56759	GM12878
ENSG00000172889	35297	GM12878
ENSG00000172889	34609	GM12878
ENSG00000054148	450	GM12878
ENSG00000197191	841	GM12878
ENSG00000233198	1153	GM12878
ENSG00000181090	120514	GM12878
ENSG00000148408	336321	GM12878
ENSG00000167393	75365	GM12878
ENSG00000198223	10141	GM12878
ENSG00000169093	27991	GM12878
ENSG00000182162	28939	GM12878
ENSG00000182162	14537	GM12878
ENSG00000196433	42538	GM12878
ENSG00000196433	84905	GM12878
ENSG00000169084	20750	GM12878
ENSG00000124343	33535	GM12878
ENSG00000183943	761	GM12878
ENSG00000183943	128772	GM12878
ENSG00000183943	167193	GM12878
ENSG00000183943	205760	GM12878
ENSG00000183943	996903	GM12878
ENSG00000130021	126154	GM12878
ENSG00000130021	131348	GM12878
ENSG00000182583	240480	GM12878
ENSG00000182583	151987	GM12878
ENSG00000182583	144877	GM12878
ENSG00000182583	130536	GM12878
ENSG00000182583	27575	GM12878
ENSG00000073464	110808	GM12878
ENSG00000101871	83567	GM12878
ENSG00000125363	136124	GM12878
ENSG00000125363	200665	GM12878
ENSG00000169933	235712	GM12878
ENSG00000169933	414701	GM12878
ENSG00000101911	152825	GM12878
ENSG00000101911	29514	GM12878
ENSG00000101916	27530	GM12878
ENSG00000205542	1340	GM12878
ENSG00000187268	42692	GM12878
ENSG00000188158	172505	GM12878
ENSG00000047634	103779	GM12878
ENSG00000047634	29372	GM12878
ENSG00000086717	117725	GM12878
ENSG00000147010	23730	GM12878
ENSG00000147010	20186	GM12878
ENSG00000165182	178	GM12878
ENSG00000223611	70881	GM12878
ENSG00000188408	157675	GM12878
ENSG00000224960	46432	GM12878
ENSG00000224960	28864	GM12878
ENSG00000169306	626008	GM12878
ENSG00000198814	138143	GM12878
ENSG00000198814	139037	GM12878
ENSG00000198814	141134	GM12878
ENSG00000198814	142044	GM12878
ENSG00000198814	142613	GM12878
ENSG00000198814	145332	GM12878
ENSG00000198814	146243	GM12878
ENSG00000198814	147229	GM12878
ENSG00000198814	152866	GM12878
ENSG00000132446	21092	GM12878
ENSG00000198947	43358	GM12878
ENSG00000185448	971562	GM12878
ENSG00000185448	175477	GM12878
ENSG00000147027	97268	GM12878
ENSG00000189132	408444	GM12878
ENSG00000165175	107988	GM12878
ENSG00000183337	230904	GM12878
ENSG00000183337	175845	GM12878
ENSG00000124486	79829	GM12878
ENSG00000124486	107243	GM12878
ENSG00000215301	99910	GM12878
ENSG00000147044	1304	GM12878
ENSG00000147044	226969	GM12878
ENSG00000147044	293308	GM12878
ENSG00000102055	374620	GM12878
ENSG00000102055	55393	GM12878
ENSG00000102055	142435	GM12878
ENSG00000102055	191292	GM12878
ENSG00000102055	198289	GM12878
ENSG00000102055	223710	GM12878
ENSG00000102055	398447	GM12878
ENSG00000147050	40212	GM12878
ENSG00000147050	102454	GM12878
ENSG00000147113	611290	GM12878
ENSG00000147121	250877	GM12878
ENSG00000251192	2169	GM12878
ENSG00000147119	55046	GM12878
ENSG00000065923	83958	GM12878
ENSG00000065923	28997	GM12878
ENSG00000102221	51164	GM12878
ENSG00000197779	20538	GM12878
ENSG00000197779	17475	GM12878
ENSG00000102312	1006	GM12878
ENSG00000101945	30253	GM12878
ENSG00000102096	18069	GM12878
ENSG00000068985	26089	GM12878
ENSG00000072501	38351	GM12878
ENSG00000102316	42563	GM12878
ENSG00000083750	6077	GM12878
ENSG00000102349	82861	GM12878
ENSG00000204272	84148	GM12878
ENSG00000204271	46807	GM12878
ENSG00000186767	52848	GM12878
ENSG00000186767	195545	GM12878
ENSG00000102043	53136	GM12878
ENSG00000189401	10964	GM12878
ENSG00000089289	21565	GM12878
ENSG00000147164	51641	GM12878
ENSG00000242732	4761	GM12878
ENSG00000186871	11012	GM12878
ENSG00000198034	988	GM12878
ENSG00000067177	69112	GM12878
ENSG00000184388	3592	GM12878
ENSG00000186288	4196	GM12878
ENSG00000131264	75022	GM12878
ENSG00000204116	178415	GM12878
ENSG00000187325	46988	GM12878
ENSG00000147138	59676	GM12878
ENSG00000078596	107903	GM12878
ENSG00000078596	138669	GM12878
ENSG00000131171	4393	GM12878
ENSG00000196767	614475	GM12878
ENSG00000165259	232420	GM12878
ENSG00000147180	65990	GM12878
ENSG00000126733	644652	GM12878
ENSG00000102271	251246	GM12878
ENSG00000153779	285008	GM12878
ENSG00000179083	726342	GM12878
ENSG00000147202	502954	GM12878
ENSG00000204086	235645	GM12878
ENSG00000204086	342140	GM12878
ENSG00000000003	21258	GM12878
ENSG00000174225	26895	GM12878
ENSG00000198908	7998	GM12878
ENSG00000123570	11055	GM12878
ENSG00000268629	202599	GM12878
ENSG00000147231	53973	GM12878
ENSG00000080572	83186	GM12878
ENSG00000170925	18360	GM12878
ENSG00000101844	30931	GM12878
ENSG00000197565	167875	GM12878
ENSG00000101890	210779	GM12878
ENSG00000101890	187682	GM12878
ENSG00000068366	128808	GM12878
ENSG00000157600	166764	GM12878
ENSG00000133136	3600	GM12878
ENSG00000225366	34781	GM12878
ENSG00000126016	622048	GM12878
ENSG00000147246	517774	GM12878
ENSG00000147246	512174	GM12878
ENSG00000147246	311984	GM12878
ENSG00000003096	14664	GM12878
ENSG00000147251	60572	GM12878
ENSG00000131724	12777	GM12878
ENSG00000250423	20922	GM12878
ENSG00000125354	45149	GM12878
ENSG00000125354	11	GM12878
ENSG00000198918	4281	GM12878
ENSG00000101882	51221	GM12878
ENSG00000125675	945094	GM12878
ENSG00000125676	211807	GM12878
ENSG00000282419	101106	GM12878
ENSG00000009694	186909	GM12878
ENSG00000183631	192443	GM12878
ENSG00000183631	268435	GM12878
ENSG00000102038	34859	GM12878
ENSG00000102038	16220	GM12878
ENSG00000122122	1290	GM12878
ENSG00000156709	18715	GM12878
ENSG00000165675	218221	GM12878
ENSG00000171054	63801	GM12878
ENSG00000171004	82716	GM12878
ENSG00000147257	83465	GM12878
ENSG00000203950	9	GM12878
ENSG00000165359	11135	GM12878
ENSG00000102245	25500	GM12878
ENSG00000147274	792	GM12878
ENSG00000156925	64268	GM12878
ENSG00000156925	518894	GM12878
ENSG00000129682	59026	GM12878
ENSG00000101977	37333	GM12878
ENSG00000227234	40733	GM12878
ENSG00000227234	4569	GM12878
ENSG00000198573	4532	GM12878
ENSG00000179542	47205	GM12878
ENSG00000268988	759334	GM12878
ENSG00000155966	54783	GM12878
ENSG00000123584	47100	GM12878
ENSG00000197021	138940	GM12878
ENSG00000166049	19434	GM12878
ENSG00000183479	4367	GM12878
ENSG00000007350	26520	GM12878
ENSG00000196924	771	GM12878
ENSG00000071889	10475	GM12878
ENSG00000185010	366	GM12878
ENSG00000288709	371	GM12878
ENSG00000277150	394	GM12878
ENSG00000124334	28997	GM12878
ENSG00000184895	2325247	GM12878
ENSG00000184895	1529047	GM12878
ENSG00000184895	1306511	GM12878
ENSG00000184895	1279436	GM12878
ENSG00000184895	1129746	GM12878
ENSG00000184895	1087468	GM12878
ENSG00000184895	265416	GM12878
ENSG00000099721	363112	GM12878
ENSG00000172288	31532511	GM12878
